,0,1,2,3,4,5,6,7
0,breakpoint_environment,high_rate,low_rate,Glenn,environmentalImpact,happynessScore,totalProfittotalScore,
1,50,0.5,0.055,0.01,200,-5093,367499.9999999999,362606.9999999999
2,50,0.5,0.055,0.01,200,-5442,367499.9999999999,362257.9999999999
3,50,0.5,0.055,0.01,200,-5193,367499.9999999999,362506.9999999999
4,50,0.5,0.055,0.01,200,-4043,367499.9999999999,363656.9999999999
5,50,0.5,0.055,0.01,200,-4509,367499.9999999999,363190.9999999999
6,50,0.5,0.055,0.02,200,-4803,367579.9999999999,362976.9999999999
7,50,0.5,0.055,0.02,200,-5195,367579.9999999999,362584.9999999999
8,50,0.5,0.055,0.02,200,-4729,367579.9999999999,363050.9999999999
9,50,0.5,0.055,0.02,200,-4659,367579.9999999999,363120.9999999999
10,50,0.5,0.055,0.02,200,-4957,367579.9999999999,362822.9999999999
11,50,0.5,0.055,0.03,200,-4895,367619.9999999999,362924.9999999999
12,50,0.5,0.055,0.03,200,-5379,367619.9999999999,362440.9999999999
13,50,0.5,0.055,0.03,200,-4529,367619.9999999999,363290.9999999999
14,50,0.5,0.055,0.03,200,-3868,367619.9999999999,363951.9999999999
15,50,0.5,0.055,0.03,200,-4506,367619.9999999999,363313.9999999999
16,50,0.5,0.055,0.04,200,-4490,367659.9999999999,363369.9999999999
17,50,0.5,0.055,0.04,200,-4882,367659.9999999999,362977.9999999999
18,50,0.5,0.055,0.04,200,-4409,367659.9999999999,363450.9999999999
19,50,0.5,0.055,0.04,200,-4928,367659.9999999999,362931.9999999999
20,50,0.5,0.055,0.04,200,-4856,367659.9999999999,363003.9999999999
21,50,0.5,0.055,0.05,200,-4981,367699.9999999999,362918.9999999999
22,50,0.5,0.055,0.05,200,-4421,367699.9999999999,363478.9999999999
23,50,0.5,0.055,0.05,200,-4856,367699.9999999999,363043.9999999999
24,50,0.5,0.055,0.05,200,-4869,367699.9999999999,363030.9999999999
25,50,0.5,0.055,0.05,200,-5013,367699.9999999999,362886.9999999999
26,50,0.5,0.055,0.060000000000000005,200,-5176,367739.9999999999,362763.9999999999
27,50,0.5,0.055,0.060000000000000005,200,-5074,367739.9999999999,362865.9999999999
28,50,0.5,0.055,0.060000000000000005,200,-4656,367739.9999999999,363283.9999999999
29,50,0.5,0.055,0.060000000000000005,200,-4687,367739.9999999999,363252.9999999999
30,50,0.5,0.055,0.060000000000000005,200,-4414,367739.9999999999,363525.9999999999
31,50,0.5,0.055,0.07,200,-4495,367779.9999999999,363484.9999999999
32,50,0.5,0.055,0.07,200,-4412,367779.9999999999,363567.9999999999
33,50,0.5,0.055,0.07,200,-4475,367779.9999999999,363504.9999999999
34,50,0.5,0.055,0.07,200,-4308,367779.9999999999,363671.9999999999
35,50,0.5,0.055,0.07,200,-4012,367779.9999999999,363967.9999999999
36,50,0.5,0.055,0.08,200,-4631,367819.9999999999,363388.9999999999
37,50,0.5,0.055,0.08,200,-4985,367819.9999999999,363034.9999999999
38,50,0.5,0.055,0.08,200,-4817,367819.9999999999,363202.9999999999
39,50,0.5,0.055,0.08,200,-4691,367819.9999999999,363328.9999999999
40,50,0.5,0.055,0.08,200,-4798,367819.9999999999,363221.9999999999
41,50,0.5,0.055,0.09,200,-5246,367859.9999999999,362813.9999999999
42,50,0.5,0.055,0.09,200,-5151,367859.9999999999,362908.9999999999
43,50,0.5,0.055,0.09,200,-5039,367859.9999999999,363020.9999999999
44,50,0.5,0.055,0.09,200,-5205,367859.9999999999,362854.9999999999
45,50,0.5,0.055,0.09,200,-5013,367859.9999999999,363046.9999999999
46,50,0.5,0.055,0.09999999999999999,200,-5244,367899.9999999999,362855.9999999999
47,50,0.5,0.055,0.09999999999999999,200,-4984,367899.9999999999,363115.9999999999
48,50,0.5,0.055,0.09999999999999999,200,-4722,367899.9999999999,363377.9999999999
49,50,0.5,0.055,0.09999999999999999,200,-4839,367899.9999999999,363260.9999999999
50,50,0.5,0.055,0.09999999999999999,200,-5243,367899.9999999999,362856.9999999999
51,50,0.5,0.055,0.10999999999999999,200,-4884,367499.9999999999,362815.9999999999
52,50,0.5,0.055,0.10999999999999999,200,-5096,367499.9999999999,362603.9999999999
53,50,0.5,0.055,0.10999999999999999,200,-4190,367499.9999999999,363509.9999999999
54,50,0.5,0.055,0.10999999999999999,200,-4806,367499.9999999999,362893.9999999999
55,50,0.5,0.055,0.10999999999999999,200,-4614,367499.9999999999,363085.9999999999
56,50,0.5,0.055,0.11999999999999998,200,-5224,367499.9999999999,362475.9999999999
57,50,0.5,0.055,0.11999999999999998,200,-5288,367499.9999999999,362411.9999999999
58,50,0.5,0.055,0.11999999999999998,200,-4701,367499.9999999999,362998.9999999999
59,50,0.5,0.055,0.11999999999999998,200,-4702,367499.9999999999,362997.9999999999
60,50,0.5,0.055,0.11999999999999998,200,-4878,367499.9999999999,362821.9999999999
61,50,0.5,0.055,0.12999999999999998,200,-4069,367499.9999999999,363630.9999999999
62,50,0.5,0.055,0.12999999999999998,200,-4802,367499.9999999999,362897.9999999999
63,50,0.5,0.055,0.12999999999999998,200,-5104,367499.9999999999,362595.9999999999
64,50,0.5,0.055,0.12999999999999998,200,-4902,367499.9999999999,362797.9999999999
65,50,0.5,0.055,0.12999999999999998,200,-5037,367499.9999999999,362662.9999999999
66,50,0.5,0.055,0.13999999999999999,200,-4970,367499.9999999999,362729.9999999999
67,50,0.5,0.055,0.13999999999999999,200,-5290,367499.9999999999,362409.9999999999
68,50,0.5,0.055,0.13999999999999999,200,-5556,367499.9999999999,362143.9999999999
69,50,0.5,0.055,0.13999999999999999,200,-4551,367499.9999999999,363148.9999999999
70,50,0.5,0.055,0.13999999999999999,200,-4522,367499.9999999999,363177.9999999999
71,50,0.5,0.055,0.15,200,-4344,367499.9999999999,363355.9999999999
72,50,0.5,0.055,0.15,200,-5251,367499.9999999999,362448.9999999999
73,50,0.5,0.055,0.15,200,-4987,367499.9999999999,362712.9999999999
74,50,0.5,0.055,0.15,200,-5263,367499.9999999999,362436.9999999999
75,50,0.5,0.055,0.15,200,-4612,367499.9999999999,363087.9999999999
76,50,0.5,0.055,0.16,200,-4698,367499.9999999999,363001.9999999999
77,50,0.5,0.055,0.16,200,-4869,367499.9999999999,362830.9999999999
78,50,0.5,0.055,0.16,200,-5076,367499.9999999999,362623.9999999999
79,50,0.5,0.055,0.16,200,-4540,367499.9999999999,363159.9999999999
80,50,0.5,0.055,0.16,200,-5878,367499.9999999999,361821.9999999999
81,50,0.5,0.055,0.17,200,-4659,367499.9999999999,363040.9999999999
82,50,0.5,0.055,0.17,200,-4835,367499.9999999999,362864.9999999999
83,50,0.5,0.055,0.17,200,-5346,367499.9999999999,362353.9999999999
84,50,0.5,0.055,0.17,200,-5207,367499.9999999999,362492.9999999999
85,50,0.5,0.055,0.17,200,-4583,367499.9999999999,363116.9999999999
86,50,0.5,0.055,0.18000000000000002,200,-4794,367499.9999999999,362905.9999999999
87,50,0.5,0.055,0.18000000000000002,200,-5027,367499.9999999999,362672.9999999999
88,50,0.5,0.055,0.18000000000000002,200,-5249,367499.9999999999,362450.9999999999
89,50,0.5,0.055,0.18000000000000002,200,-4843,367499.9999999999,362856.9999999999
90,50,0.5,0.055,0.18000000000000002,200,-5123,367499.9999999999,362576.9999999999
91,50,0.5,0.055,0.19000000000000003,200,-4412,367499.9999999999,363287.9999999999
92,50,0.5,0.055,0.19000000000000003,200,-4299,367499.9999999999,363400.9999999999
93,50,0.5,0.055,0.19000000000000003,200,-4686,367499.9999999999,363013.9999999999
94,50,0.5,0.055,0.19000000000000003,200,-5107,367499.9999999999,362592.9999999999
95,50,0.5,0.055,0.19000000000000003,200,-5146,367499.9999999999,362553.9999999999
96,50,0.5,0.055,0.20000000000000004,200,-5115,367499.9999999999,362584.9999999999
97,50,0.5,0.055,0.20000000000000004,200,-5017,367499.9999999999,362682.9999999999
98,50,0.5,0.055,0.20000000000000004,200,-4755,367499.9999999999,362944.9999999999
99,50,0.5,0.055,0.20000000000000004,200,-4520,367499.9999999999,363179.9999999999
100,50,0.5,0.055,0.20000000000000004,200,-5273,367499.9999999999,362426.9999999999
101,50,0.5,0.055,0.21000000000000005,200,-4751,367499.9999999999,362948.9999999999
102,50,0.5,0.055,0.21000000000000005,200,-5341,367499.9999999999,362358.9999999999
103,50,0.5,0.055,0.21000000000000005,200,-5641,367499.9999999999,362058.9999999999
104,50,0.5,0.055,0.21000000000000005,200,-4421,367499.9999999999,363278.9999999999
105,50,0.5,0.055,0.21000000000000005,200,-4412,367499.9999999999,363287.9999999999
106,50,0.5,0.055,0.22000000000000006,200,-4727,367499.9999999999,362972.9999999999
107,50,0.5,0.055,0.22000000000000006,200,-5140,367499.9999999999,362559.9999999999
108,50,0.5,0.055,0.22000000000000006,200,-4087,367499.9999999999,363612.9999999999
109,50,0.5,0.055,0.22000000000000006,200,-4799,367499.9999999999,362900.9999999999
110,50,0.5,0.055,0.22000000000000006,200,-4786,367499.9999999999,362913.9999999999
111,50,0.5,0.055,0.23000000000000007,200,-5262,367499.9999999999,362437.9999999999
112,50,0.5,0.055,0.23000000000000007,200,-4784,367499.9999999999,362915.9999999999
113,50,0.5,0.055,0.23000000000000007,200,-3943,367499.9999999999,363756.9999999999
114,50,0.5,0.055,0.23000000000000007,200,-5386,367499.9999999999,362313.9999999999
115,50,0.5,0.055,0.23000000000000007,200,-4548,367499.9999999999,363151.9999999999
116,50,0.5,0.055,0.24000000000000007,200,-4785,367499.9999999999,362914.9999999999
117,50,0.5,0.055,0.24000000000000007,200,-4912,367499.9999999999,362787.9999999999
118,50,0.5,0.055,0.24000000000000007,200,-4791,367499.9999999999,362908.9999999999
119,50,0.5,0.055,0.24000000000000007,200,-4736,367499.9999999999,362963.9999999999
120,50,0.5,0.055,0.24000000000000007,200,-4548,367499.9999999999,363151.9999999999
121,50,0.5,0.055,0.25000000000000006,200,-5323,367499.9999999999,362376.9999999999
122,50,0.5,0.055,0.25000000000000006,200,-4874,367499.9999999999,362825.9999999999
123,50,0.5,0.055,0.25000000000000006,200,-5021,367499.9999999999,362678.9999999999
124,50,0.5,0.055,0.25000000000000006,200,-5029,367499.9999999999,362670.9999999999
125,50,0.5,0.055,0.25000000000000006,200,-5452,367499.9999999999,362247.9999999999
126,50,0.5,0.055,0.26000000000000006,200,-5121,367499.9999999999,362578.9999999999
127,50,0.5,0.055,0.26000000000000006,200,-4545,367499.9999999999,363154.9999999999
128,50,0.5,0.055,0.26000000000000006,200,-4910,367499.9999999999,362789.9999999999
129,50,0.5,0.055,0.26000000000000006,200,-4147,367499.9999999999,363552.9999999999
130,50,0.5,0.055,0.26000000000000006,200,-5334,367499.9999999999,362365.9999999999
131,50,0.5,0.055,0.2700000000000001,200,-4895,367499.9999999999,362804.9999999999
132,50,0.5,0.055,0.2700000000000001,200,-5281,367499.9999999999,362418.9999999999
133,50,0.5,0.055,0.2700000000000001,200,-4382,367499.9999999999,363317.9999999999
